ticker,sektor,waehrung,marktkap
9988.HK,Consumer Cyclical,HKD,2299081261056
STN.TO,Industrials,CAD,11489498112
ECHO,Communication Services,USD,26693191680
FRES.L,Basic Materials,GBp,21222535168
TIMS3.SA,Communication Services,BRL,43282685952
GLW,Technology,USD,142691287040
RENT3.SA,Industrials,BRL,37015642112
1812.T,Industrials,JPY,2275717939200
STM.DE,Industrials,EUR,399646016
AUTO.L,Communication Services,GBp,4209214464
4704.T,Technology,JPY,759414980608
NWL.AX,Technology,AUD,5887066624
HVN.AX,Consumer Cyclical,AUD,6005752320
BPT.AX,Energy,AUD,1973353728
RADL3.SA,Healthcare,BRL,30651840512
2382.HK,Technology,HKD,63107772416
0700.HK,Communication Services,HKD,3965369974784
2688.HK,Utilities,HKD,51590062080
ORA.AX,Consumer Cyclical,AUD,1844141184
EZTC3.SA,Real Estate,BRL,2959420928
1928.HK,Consumer Cyclical,HKD,114602254336
JUN3.DE,Industrials,EUR,2537760000
4568.T,Healthcare,JPY,4965833637888
QCOM,Technology,USD,174079492096
BR,Technology,USD,19778723840
6862.HK,Consumer Cyclical,HKD,61844762624
YAL.AX,Energy,AUD,7632140288
TPL,Energy,USD,24728801280
INW.MI,Real Estate,EUR,5674506752
ISRG,Healthcare,USD,141344276480
9984.T,Communication Services,JPY,32706121433088
4519.T,Healthcare,JPY,11410075549696
TMV.DE,Technology,EUR,1068154688
VRSK,Industrials,USD,23802736640
6981.T,Technology,JPY,14990271578112
CSU.TO,Technology,CAD,65470382080
STMPA.PA,Technology,EUR,41642778624
STMMI.MI,Technology,EUR,41674018816
BBAS3.SA,Financial Services,BRL,104929083392
SNPS,Technology,USD,80708534272
HDFCLIFE.NS,Financial Services,INR,1163831410688
CURA.TO,Healthcare,CAD,3479574784
7013.T,Industrials,JPY,3210170335232
KLAC,Technology,USD,266169712640
5801.T,Industrials,JPY,2854085197824
SBSP3.SA,Utilities,BRL,83662430208
WSP.TO,Industrials,CAD,26389010432
SGP.AX,Real Estate,AUD,10480386048
PGHN.SW,Financial Services,CHF,18754654208
LVS,Consumer Cyclical,USD,29943226368
6920.T,Technology,JPY,3479462477824
REG.AX,Healthcare,AUD,1865570560
SMCI,Technology,USD,25771421696
REA.AX,Communication Services,AUD,23162185728
WDC,Technology,USD,175374270464
AIXA.DE,Technology,EUR,4654672384
VST,Utilities,USD,49717645312
5802.T,Consumer Cyclical,JPY,7443555287040
CIEN,Technology,USD,60693647360
FSV.TO,Real Estate,CAD,8586417664
8801.T,Real Estate,JPY,3922512052224
IT,Technology,USD,11435648000
OGC.TO,Basic Materials,CAD,8840065024
CTSH,Technology,USD,27807670272
RSG.AX,Basic Materials,AUD,2404594688
1803.T,Industrials,JPY,1640610660352
PPTA.TO,Basic Materials,CAD,4377056768
TRMB,Technology,USD,13431158784
BB.TO,Technology,CAD,7232479232
1965.T,Industrials,JPY,123636285440
HEI.DE,Basic Materials,EUR,28435957760
APE.AX,Consumer Cyclical,AUD,6618585088
EOS.AX,Industrials,AUD,1877817344
NRG,Utilities,USD,26536970240
ITC.NS,Consumer Defensive,INR,3485785391104
G24.DE,Communication Services,EUR,5431938048
AFX.DE,Healthcare,EUR,2825664512
PTC,Technology,USD,16248812544
3659.T,Communication Services,JPY,2353767907328
RTO.L,Industrials,GBp,8834518016
AZO,Consumer Cyclical,USD,49384198144
LII,Industrials,USD,14584950784
EFX,Industrials,USD,21247143936
8802.T,Real Estate,JPY,4414930157568
REL.L,Industrials,GBp,44042051584
PDN.AX,Energy,AUD,4552001024
ADYEN.AS,Technology,EUR,33511182336
JBH.AX,Consumer Cyclical,AUD,8933680128
LREN3.SA,Consumer Cyclical,BRL,10771874816
UHS,Healthcare,USD,10020386816
TSLA,Consumer Cyclical,USD,1351811596288
1802.T,Industrials,JPY,2097323048960
WIPRO.NS,Technology,INR,1820244180992
4751.T,Communication Services,JPY,641987444736
TOM.OL,Industrials,NOK,31699081216
AMAT,Technology,USD,402680348672
IFX.DE,Technology,EUR,80218112000
3690.HK,Consumer Cyclical,HKD,538184515584
MRVL,Technology,USD,199272824832
WGX.AX,Basic Materials,AUD,5360824320
CEG,Utilities,USD,100091838464
IGG.L,Financial Services,GBp,4492916736
SNDK,Technology,USD,239602057216
NCLH,Consumer Cyclical,USD,8729160704
PAAS.TO,Basic Materials,CAD,27290155008
INFY.NS,Technology,INR,4735404343296
RBA.TO,Industrials,CAD,21780334592
RMS.PA,Consumer Cyclical,EUR,165072896000
NXPI,Technology,USD,59185455104
2020.HK,Consumer Cyclical,HKD,199337443328
FSLR,Technology,USD,24240885760
PAH3.DE,Consumer Cyclical,EUR,8464749568
6506.T,Industrials,JPY,1408627376128
CHRW,Industrials,USD,17360592896
ERIE,Financial Services,USD,13385683968
OR.TO,Basic Materials,CAD,8670285824
A2M.AX,Consumer Defensive,AUD,4896626688
7201.T,Consumer Cyclical,JPY,1153806237696
5332.T,Industrials,JPY,1090484502528
CNA.L,Utilities,GBp,7204030464
SUZB3.SA,Basic Materials,BRL,51762495488
RMD.AX,Healthcare,AUD,46204010496
CLS.TO,Technology,CAD,58670678016
MC.PA,Consumer Cyclical,EUR,225975255040
RMS.AX,Basic Materials,AUD,6764225536
NST.AX,Basic Materials,AUD,32086611968
IBM,Technology,USD,220760932352
RI.PA,Consumer Defensive,EUR,17415358464
DSG.TO,Technology,CAD,9195482112
TMUS,Communication Services,USD,195880566784
ADBE,Technology,USD,104947949568
6479.T,Technology,JPY,1514015162368
SII.TO,Financial Services,CAD,4167149824
IDXX,Healthcare,USD,43461378048
MSB.AX,Healthcare,AUD,2866283520
5803.T,Industrials,JPY,9379543777280
PLS.AX,Basic Materials,AUD,15699037184
ULTA,Consumer Cyclical,USD,21956790272
AAUC.TO,Basic Materials,CAD,4403393536
4755.T,Consumer Cyclical,JPY,1666600534016
BEI.DE,Consumer Defensive,EUR,17114780672
VOW3.DE,Consumer Cyclical,EUR,36955488256
TA.TO,Utilities,CAD,5620651008
EL,Consumer Defensive,USD,31150540800
MRO.L,Industrials,GBp,6159459840
HII,Industrials,USD,12913281024
VIVT3.SA,Communication Services,BRL,95037333504
DSY.PA,Technology,EUR,28487819264
EXPN.L,Industrials,GBp,25543913472
LDOS,Technology,USD,18091722752
REN.AS,Industrials,EUR,51922894848
INTC,Technology,USD,541825761280
MDA.TO,Industrials,CAD,7918418432
BESI.AS,Technology,EUR,18485790720
YAR.OL,Basic Materials,NOK,106551730176
6723.T,Technology,JPY,6845774692352
8031.T,Industrials,JPY,13674958815232
7735.T,Technology,JPY,2699228610560
HDFCBANK.NS,Financial Services,INR,11203797581824
0175.HK,Consumer Cyclical,HKD,192190988288
K.TO,Basic Materials,CAD,44946661376
0101.HK,Real Estate,HKD,36941885440
7270.T,Consumer Cyclical,JPY,1820198305792
VGN.AX,Industrials,AUD,2140953088
BRO,Financial Services,USD,23603415040
LEG.DE,Real Estate,EUR,3953853952
SPK.AX,Communication Services,AUD,3043076096
5201.T,Industrials,JPY,1266243207168
CAP.PA,Technology,EUR,17978040320
TCS.NS,Technology,INR,8542304600064
AZN.L,Healthcare,GBp,177731518464
NVR,Consumer Cyclical,USD,16809750528
HUB.AX,Financial Services,AUD,7122496000
3436.T,Technology,JPY,1370950729728
6146.T,Technology,JPY,7101382393856
EGIE3.SA,Utilities,BRL,39701176320
LYC.AX,Basic Materials,AUD,16466382848
CRM,Technology,USD,160695992320
GNRC,Industrials,USD,12939936768
BOL.ST,Basic Materials,SEK,149080293376
NXG.AX,Energy,AUD,9604305920
SUL.AX,Consumer Cyclical,AUD,2994459392
TWE.AX,Consumer Defensive,AUD,4771954176
AUB.AX,Financial Services,AUD,3775511040
1950.T,Industrials,JPY,227943071744
LNW.AX,Consumer Cyclical,AUD,10372625408
FDS,Financial Services,USD,10082476032
SJ.TO,Basic Materials,CAD,4042370048
HCA,Healthcare,USD,89774129152
ROP,Technology,USD,39495073792
CCO.TO,Energy,CAD,59040849920
CAR.AX,Communication Services,AUD,11403864064
TVK.TO,Energy,CAD,2780423680
DVA,Healthcare,USD,11557150720
5713.T,Basic Materials,JPY,2573454802944
CRH,Basic Materials,USD,64632389632
DML.TO,Energy,CAD,4045975552
BGL.AX,Basic Materials,AUD,2221076992
NIC.AX,Basic Materials,AUD,3582097152
EFN.TO,Industrials,CAD,11039130624
8035.T,Technology,JPY,26883525705728
B3SA3.SA,Financial Services,BRL,73216933888
1952.T,Industrials,JPY,142786002944
DOW,Basic Materials,USD,22443126784
AEM.TO,Basic Materials,CAD,131072548864
1942.T,Industrials,JPY,1098557030400
NHY.OL,Basic Materials,NOK,176557932544
DECK,Consumer Cyclical,USD,12677168128
9602.T,Communication Services,JPY,1252767956992
JIOFIN.NS,Financial Services,INR,1644512411648
RDOR3.SA,Healthcare,BRL,73271140352
META,Communication Services,USD,1502646501376
5333.T,Industrials,JPY,1667788308480
1211.HK,Consumer Cyclical,HKD,804592680960
4043.T,Basic Materials,JPY,305335271424
DPZ,Consumer Cyclical,USD,11455212544
5631.T,Industrials,JPY,575120998400
BXB.AX,Industrials,AUD,26126282752
EVN.AX,Basic Materials,AUD,26830706688
HLMA.L,Industrials,GBp,13921221632
PRN.AX,Basic Materials,AUD,2121996800
SAP.DE,Technology,EUR,207918366720
WTB.L,Consumer Cyclical,GBp,4145110016
IMG.TO,Basic Materials,CAD,14520529920
KR,Consumer Defensive,USD,34730975232
UBER,Technology,USD,155132428288
6753.T,Technology,JPY,438671441920
0288.HK,Consumer Defensive,HKD,101166284800
STJ.L,Financial Services,GBp,5954334720
7211.T,Consumer Cyclical,JPY,458787258368
VNA.DE,Real Estate,EUR,17460805632
MULT3.SA,Real Estate,BRL,13125675008
CMG,Consumer Cyclical,USD,42391502848
ENGI11.SA,Utilities,BRL,13415195648
AMRZ.SW,Basic Materials,CHF,20706605056
2618.HK,Industrials,HKD,74917928960
COHR,Technology,USD,63745159168
MGR.AX,Real Estate,AUD,6984172544
EDR.TO,Basic Materials,CAD,4371092480
TXG.TO,Basic Materials,CAD,5853830144
NXE.TO,Energy,CAD,9524877312
SN.L,Healthcare,GBp,9184925696
6954.T,Industrials,JPY,6004869693440
CAE.TO,Industrials,CAD,11667028992
NDA.DE,Industrials,EUR,7321619456
FNTN.DE,Communication Services,EUR,2807938304
BZU.MI,Basic Materials,EUR,7252863488
NOC,Industrials,USD,83230466048
3092.T,Consumer Cyclical,JPY,999074758656
RRL.AX,Basic Materials,AUD,5566802944
1945.T,Industrials,JPY,67131039744
CCI,Real Estate,USD,32326105088
ERIC-B.ST,Technology,SEK,319820955648
FMG.AX,Basic Materials,AUD,54312939520
LRCX,Technology,USD,415889031168
LUG.TO,Basic Materials,CAD,21861679104
ILU.AX,Basic Materials,AUD,3057172736
KKR,Financial Services,USD,105298558976
LOW,Consumer Cyclical,USD,122561667072
PSN.L,Consumer Cyclical,GBp,3811485952
2318.HK,Financial Services,HKD,988677210112
ADSK,Technology,USD,53136814080
1980.T,Industrials,JPY,358377226240
DASH,Consumer Cyclical,USD,94033821696
EQTL3.SA,Utilities,BRL,43844829184
RMD,Healthcare,USD,32378873856
CMIG4.SA,Utilities,BRL,29264775168
TUI1.DE,Consumer Cyclical,EUR,3649444096
0386.HK,Energy,HKD,511359025152
9531.T,Utilities,JPY,1987839131648
1968.T,Industrials,JPY,150567043072
MCHP,Technology,USD,42989998080
GQG.AX,Financial Services,AUD,4326901760
1876.HK,Consumer Defensive,HKD,84935114752
3692.HK,Healthcare,HKD,201896411136
MTS.AX,Consumer Defensive,AUD,3398153984
PSH.L,Financial Services,GBp,6862458880
AXON,Industrials,USD,49784725504
5411.T,Basic Materials,JPY,1137411751936
MRNA,Healthcare,USD,25279617024
2628.HK,Financial Services,HKD,757494054912
0012.HK,Real Estate,HKD,129652350976
9618.HK,Consumer Cyclical,HKD,301026869248
TFPM.TO,Basic Materials,CAD,8996151296
SVM.TO,Basic Materials,CAD,3687508992
1969.T,Industrials,JPY,567682924544
AKAM,Technology,USD,17963139072
MLM,Basic Materials,USD,32911876096
2899.HK,Basic Materials,HKD,925356851200
WYNN,Consumer Cyclical,USD,10557913088
1934.T,Industrials,JPY,170274603008
PDI.AX,Basic Materials,AUD,3952690944
MKC,Consumer Defensive,USD,14698114048
LHX,Industrials,USD,54341152768
FRA.DE,Industrials,EUR,6061323776
7203.T,Consumer Cyclical,JPY,35759977398272
AIF.TO,Real Estate,CAD,1641246208
EDV.L,Basic Materials,GBp,9909327872
ASAI3.SA,Consumer Defensive,BRL,10841501696
LSPD.TO,Technology,CAD,1909755008
FLEX,Technology,USD,46603882496
0981.HK,Technology,HKD,606105108480
AZN.ST,Healthcare,SEK,2295311106048
7012.T,Industrials,JPY,2488175951872
CDNS,Technology,USD,89590554624
ZAL.DE,Consumer Cyclical,EUR,5763654144
4061.T,Basic Materials,JPY,304802168832
IMB.L,Consumer Defensive,GBp,19861264384
1961.T,Industrials,JPY,372868546560
VRT,Industrials,USD,113124917248
JHSF3.SA,Real Estate,BRL,7213825024
6762.T,Technology,JPY,6093074857984
4507.T,Healthcare,JPY,2409536946176
NAS.OL,Industrials,NOK,14010385408
ARES,Financial Services,USD,47504510976
9633.HK,Consumer Defensive,HKD,480224116736
LYB,Basic Materials,USD,20596899840
OBM.AX,Basic Materials,AUD,2525225472
WHC.AX,Energy,AUD,6323670016
AOS,Industrials,USD,8449436160
TPR,Consumer Cyclical,USD,25717538816
1938.T,Industrials,JPY,60489318400
BBUC.TO,Industrials,CAD,8384089088
BHC.TO,Healthcare,CAD,3373394944
TEL.OL,Communication Services,NOK,183149182976
NDX1.DE,Industrials,EUR,9285386240
ONGC.NS,Energy,INR,2973978066944
AAF.L,Communication Services,GBp,11956982784
TAH.AX,Consumer Cyclical,AUD,2097769600
EXE,Energy,USD,22674110464
HINDUNILVR.NS,Consumer Defensive,INR,4880101015552
1605.T,Energy,JPY,4395516035072
OTIS,Industrials,USD,27648014336
1093.HK,Healthcare,HKD,99113369600
RKT.L,Consumer Defensive,GBp,32474269696
PBH.TO,Consumer Defensive,CAD,4249572608
0291.HK,Consumer Defensive,HKD,72276320256
IGTI11.SA,Real Estate,BRL,0
1929.HK,Consumer Cyclical,HKD,122342498304
1299.HK,Financial Services,HKD,725483651072
IGO.AX,Basic Materials,AUD,5974843392
BC8.DE,Technology,EUR,4364639744
5019.T,Energy,JPY,1565987045376
9999.HK,Communication Services,HKD,619762221056
9064.T,Industrials,JPY,624169517056
8804.T,Real Estate,JPY,700751347712
AD.AS,Consumer Defensive,EUR,28309889024
GRF.MC,Healthcare,EUR,6710512640
HEXA-B.ST,Technology,SEK,253544038400
CPFE3.SA,Utilities,BRL,47576588288
CVNA,Consumer Cyclical,USD,112483377152
XYL,Industrials,USD,27943702528
KER.PA,Consumer Cyclical,EUR,32929425408
8002.T,Industrials,JPY,8020430946304
SPGI,Financial Services,USD,123462238208
GGP.AX,Basic Materials,AUD,8129742336
BBDC4.SA,Financial Services,BRL,179834273792
HSY,Consumer Defensive,USD,37014528000
7202.T,Consumer Cyclical,JPY,1556935737344
EMR.AX,Basic Materials,AUD,4199601408
SDF.DE,Basic Materials,EUR,2580830976
BX,Financial Services,USD,172039208960
EXO.AS,Industrials,EUR,23122434048
6690.HK,Consumer Cyclical,HKD,197680414720
BRBY.L,Consumer Cyclical,GBp,3866883584
MBG.DE,Consumer Cyclical,EUR,44061122560
0868.HK,Basic Materials,HKD,39559045120
BRAP4.SA,Financial Services,BRL,7964137472
FVI.TO,Basic Materials,CAD,4383129088
BAB.L,Industrials,GBp,5724934656
VEEV,Healthcare,USD,39595552768
ALPA4.SA,Consumer Cyclical,BRL,8680208384
LUN.TO,Basic Materials,CAD,30067830784
MAXHEALTH.NS,Healthcare,INR,981646639104
BTRW.L,Consumer Cyclical,GBp,4539783680
DG,Consumer Defensive,USD,27193921536
0016.HK,Real Estate,HKD,337591402496
0883.HK,Energy,HKD,1132163497984
1099.HK,Healthcare,HKD,52114960384
ZTS,,,0
ROVI.MC,,,0
ZIP.AX,Financial Services,AUD,3363988992
WKL.AS,Industrials,EUR,15264277504
ANA.MC,Industrials,EUR,11204862976
WEIR.L,Industrials,GBp,6936834048
WOR.AX,Energy,AUD,5493606400
TAP,Consumer Defensive,USD,7596133888
4307.T,Technology,JPY,2727132266496
WDAY,Technology,USD,47216386048
ATZ.TO,Consumer Cyclical,CAD,15416785920
4661.T,Consumer Cyclical,JPY,4724023623680
6305.T,Industrials,JPY,1146647478272
JKHY,Technology,USD,10648380416
EQT,Energy,USD,33158604800
MCD,Consumer Cyclical,USD,187900051456
BPAC11.SA,Financial Services,BRL,168477999104
GIS,Consumer Defensive,USD,20305227776
HYPE3.SA,Healthcare,BRL,14769835008
DXS.AX,Real Estate,AUD,6167392256
3086.T,Consumer Cyclical,JPY,701822730240
GIL.TO,Consumer Cyclical,CAD,14357922816
RCH.TO,Industrials,CAD,1938887040
6701.T,Technology,JPY,6347882496000
FLT.AX,Consumer Cyclical,AUD,2639695872
9022.T,Industrials,JPY,3603846922240
ITUB4.SA,Financial Services,BRL,423019479040
BBDC3.SA,Financial Services,BRL,155424194560
STZ,Consumer Defensive,USD,22300215296
DOO.TO,Consumer Cyclical,CAD,6488225280
LUV,Industrials,USD,21207175168
6702.T,Technology,JPY,6342482329600
RAIL3.SA,Industrials,BRL,25293457408
RDDT,,,0
SGM.AX,,,0
IAU.TO,,,0
MU,,,0
EFX.TO,,,0
NEXI.MI,,,0
KOG.OL,,,0
HCLTECH.NS,,,0
AVGO,,,0
ARIS.TO,,,0
MPWR,,,0
CAT,,,0
6361.T,,,0
GMIN.TO,,,0
1959.T,,,0
6758.T,,,0
CBOE,,,0
DGE.L,,,0
HOT.DE,,,0
GFL.TO,,,0
ANTO.L,,,0
ADS.DE,,,0
LHA.DE,,,0
ABRA.TO,,,0
4063.T,,,0
ELD.TO,,,0
SLR.MC,,,0
FDR.MC,,,0
7532.T,,,0
STX,,,0
6472.T,,,0
1944.T,,,0
NXT.AX,,,0
2768.T,,,0
6326.T,,,0
1963.T,,,0
ACS.MC,,,0
ASM.AS,,,0
6504.T,,,0
TER,,,0
NOD.OL,,,0
LITE,,,0
SGH.AX,,,0
6471.T,,,0
8058.T,,,0
7011.T,Industrials,JPY,13766778421248
1979.T,Industrials,JPY,247588077568
6367.T,Industrials,JPY,5762949578752
TEG.DE,Real Estate,EUR,2444966656
SANB11.SA,Financial Services,BRL,154218872832
PRY.MI,Industrials,EUR,36122009600
LOGN.SW,Technology,CHF,11498023936
BIR.TO,Energy,CAD,1740036224
5714.T,Basic Materials,JPY,548067934208
1975.T,Industrials,JPY,96516300800
6113.T,Industrials,JPY,786375442432
IRBR3.SA,Financial Services,BRL,4037336320
CCL,Consumer Cyclical,USD,36555935744
WAF.DE,Technology,EUR,2712599808
MARUTI.NS,Consumer Cyclical,INR,4304171171840
7004.T,Industrials,JPY,195507126272
JD.L,,,0
WMT,,,0
STLD,,,0
DOW.AX,,,0
BEN.AX,,,0
1044.HK,,,0
CDW,,,0
ARE.TO,,,0
CARR,,,0
AMP.MI,,,0
6963.T,,,0
RCL,,,0
NAB.AX,,,0
6594.T,,,0
ORK.OL,Consumer Defensive,NOK,93816872960
GMG.AX,Real Estate,AUD,0
HAG.DE,Industrials,EUR,10314149888
QAN.AX,Industrials,AUD,13997092864
AMS.MC,Technology,EUR,24048437248
TXN,Technology,USD,241426137088
FIX,,,0
DDOG,,USD,0
AMD,,USD,0
PWR,,USD,0
CMI,,USD,0
JBL,,USD,0
CHC.AX,,AUD,0
ATRL.TO,,CAD,0
